File,Electrostatic Energy (kcal/mol),
HBC1-FaOOFaNN-3.6-CHOOH-CHNHNHH-Disp8-EFP.log,-68.09205938,-54.2172
HBC1-FaOOFaNN-3.8-CHOOH-CHNHNHH-Disp8-EFP.log,-45.99689847,-43.224
HBC1-FaOOFaNN-4.0-CHOOH-CHNHNHH-Disp8-EFP.log,-32.46838732,-32.6087
HBC1-FaOOFaNN-4.2-CHOOH-CHNHNHH-Disp8-EFP.log,-23.04540388,-23.773
HBC1-FaOOFaNN-4.4-CHOOH-CHNHNHH-Disp8-EFP.log,-16.61304808,-17.1998
HBC1-FaOOFaNN-4.6-CHOOH-CHNHNHH-Disp8-EFP.log,-12.27051286,-12.5946
HBC1-FaOOFaNN-5.0-CHOOH-CHNHNHH-Disp8-EFP.log,-7.220958412,-7.1953
HBC1-FaOOFaNN-5.8-CHOOH-CHNHNHH-Disp8-EFP.log,-3.101676021,-2.9981
HBC1-FaOOFaNN-6.4-CHOOH-CHNHNHH-Disp8-EFP.log,-1.846676156,-1.7882
HBC1-FaOOFaNN-7.0-CHOOH-CHNHNHH-Disp8-EFP.log,-1.172611887,-1.1465
HBC1-FaOOFaON-10.0-CHOOH-CHONHH-Disp8-EFP.log,-0.257383735,-0.2224
HBC1-FaOOFaON-3.4-CHOOH-CHONHH-Disp8-EFP.log,-56.15591319,-59.4274
HBC1-FaOOFaON-3.5-CHOOH-CHONHH-Disp8-EFP.log,-50.9114345,-53.6298
HBC1-FaOOFaON-3.6-CHOOH-CHONHH-Disp8-EFP.log,-44.94066139,-47.2779
HBC1-FaOOFaON-3.7-CHOOH-CHONHH-Disp8-EFP.log,-38.99422245,-40.9512
HBC1-FaOOFaON-3.8-CHOOH-CHONHH-Disp8-EFP.log,-33.45797133,-34.9819
HBC1-FaOOFaON-3.9-CHOOH-CHONHH-Disp8-EFP.log,-28.51257127,-29.5708
HBC1-FaOOFaON-4.0-CHOOH-CHONHH-Disp8-EFP.log,-24.22455723,-24.8334
HBC1-FaOOFaON-4.1-CHOOH-CHONHH-Disp8-EFP.log,-20.59793963,-20.8123
HBC1-FaOOFaON-4.2-CHOOH-CHONHH-Disp8-EFP.log,-17.58365346,-17.4826
HBC1-FaOOFaON-4.3-CHOOH-CHONHH-Disp8-EFP.log,-15.10015287,-14.7671
HBC1-FaOOFaON-4.4-CHOOH-CHONHH-Disp8-EFP.log,-13.05651331,-12.5654
HBC1-FaOOFaON-4.6-CHOOH-CHONHH-Disp8-EFP.log,-9.961669419,-9.3176
HBC1-FaOOFaON-4.8-CHOOH-CHONHH-Disp8-EFP.log,-7.7831719,-7.1205
HBC1-FaOOFaON-5.0-CHOOH-CHONHH-Disp8-EFP.log,-6.20402492,-5.5872
HBC1-FaOOFaON-5.4-CHOOH-CHONHH-Disp8-EFP.log,-4.137107161,-3.6614
HBC1-FaOOFaON-5.8-CHOOH-CHONHH-Disp8-EFP.log,-2.894538751,-2.5399
HBC1-FaOOFaON-6.4-CHOOH-CHONHH-Disp8-EFP.log,-1.805419573,-1.5724
HBC1-FaOOFaON-7.0-CHOOH-CHONHH-Disp8-EFP.log,-1.193025005,-1.035
HBC1-FaOOFaON-8.0-CHOOH-CHONHH-Disp8-EFP.log,-0.658569629,-0.5697
HBC1-FaOOFaOO-10.0-CHOOH-CHOOH-Disp8-EFP.log,-0.159070582,-0.0000001
HBC1-FaOOFaOO-3.4-CHOOH-CHOOH-Disp8-EFP.log,-63.46563896,112.2776
HBC1-FaOOFaOO-3.5-CHOOH-CHOOH-Disp8-EFP.log,-53.47604634,89.9583
HBC1-FaOOFaOO-3.6-CHOOH-CHOOH-Disp8-EFP.log,-44.92410965,70.8535
HBC1-FaOOFaOO-3.7-CHOOH-CHOOH-Disp8-EFP.log,-37.64178663,54.7344
HBC1-FaOOFaOO-3.8-CHOOH-CHOOH-Disp8-EFP.log,-31.47087636,41.4251
HBC1-FaOOFaOO-3.9-CHOOH-CHOOH-Disp8-EFP.log,-26.30372397,30.7346
HBC1-FaOOFaOO-4.0-CHOOH-CHOOH-Disp8-EFP.log,-22.0367766,22.4114
HBC1-FaOOFaOO-4.1-CHOOH-CHOOH-Disp8-EFP.log,-18.55234958,16.1235
HBC1-FaOOFaOO-4.2-CHOOH-CHOOH-Disp8-EFP.log,-15.72244156,11.4908
HBC1-FaOOFaOO-4.3-CHOOH-CHOOH-Disp8-EFP.log,-13.4221933,8.1404
HBC1-FaOOFaOO-4.4-CHOOH-CHOOH-Disp8-EFP.log,-11.54359137,5.7477
HBC1-FaOOFaOO-4.6-CHOOH-CHOOH-Disp8-EFP.log,-8.714438178,2.8542
HBC1-FaOOFaOO-4.8-CHOOH-CHOOH-Disp8-EFP.log,-6.733003962,1.4167
HBC1-FaOOFaOO-5.0-CHOOH-CHOOH-Disp8-EFP.log,-5.302180154,0.7053
HBC1-FaOOFaOO-5.4-CHOOH-CHOOH-Disp8-EFP.log,-3.43736058,0.1774
HBC1-FaOOFaOO-5.8-CHOOH-CHOOH-Disp8-EFP.log,-2.328942425,0.0452
HBC1-FaOOFaOO-6.4-CHOOH-CHOOH-Disp8-EFP.log,-1.382054311,0.0059
HBC1-FaOOFaOO-7.0-CHOOH-CHOOH-Disp8-EFP.log,-0.871078564,0.0008
HBC1-FaOOFaOO-8.0-CHOOH-CHOOH-Disp8-EFP.log,-0.449107313,0.0000001
