File,Electrostatic Energy (kcal/mol),SAPT
SSI-091LYS-140SER-2-unCP-CNHHHHHH-COHHHH-Disp8-EFP.log,-14.84560717,-14.4743
SSI-095TYR-106TYR-1-unCP-CCCCCCCOHHHHHHHH-CCCCCCCOHHHHHHHH-Disp8-EFP.log,-4.155805925,-7.8276
SSI-113ILE-185VAL-1-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.550301924,-1.5078
SSI-115ASP-156ASP-1-unCP-CCOOHHH-CCCOOHHHHH-Disp8-EFP.log,92.57944004,82.2683
SSI-115GLU-123PRO-1-unCP-CCCHHHHHHHH-CCCHHHHHHHH-Disp8-EFP.log,-0.166957931,-0.5413
SSI-126LEU-162PHE-1-unCP-CCHHHHHH-CCCCCCCCHHHHHHHHHH-Disp8-EFP.log,-0.394176618,-0.6825
SSI-130VAL-185PHE-1-unCP-CCHHHHHH-CCCCCCCHHHHHHHH-Disp8-EFP.log,-0.364312963,-0.6441
SSI-131ASP-182PHE-1-unCP-CCCOOHHHHH-CCCCCCCHHHHHHHH-Disp8-EFP.log,1.410810977,-0.1535
SSI-131THR-149LEU-1-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.151796937,-0.4066
SSI-136SER-144ARG-1-unCP-COHHHH-CCNNNHHHHHHHH-Disp8-EFP.log,-14.2450771,-14.5515
SSI-153PHE-163LEU-1-unCP-CCCCCCCCHHHHHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.581281228,-0.6631
SSI-158VAL-205TYR-1-unCP-CCHHHHHH-CCCCCCCOHHHHHHHH-Disp8-EFP.log,-0.402026254,-0.8957
SSI-165TYR-208ILE-1-unCP-CCCCCCCOHHHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.01867404,-0.4975
SSI-175LEU-233ALA-1-unCP-CCCHHHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.207935963,-0.7415
SSI-189THR-199LYS-1-unCP-COHHHH-CCCHHHHHHHH-Disp8-EFP.log,-0.170458114,-1.8319
SSI-193HIE-248MET-1-unCP-CCCCCNNHHHHHHHH-CCCHHHHHHHH-Disp8-EFP.log,-0.48528283,-1.1722
